Substrates,Allylic Substrates,Additive,Catalysts,base,b:l,Yield_origin,ee,doi,Yield
O=S(NCC1=CC=CC=C1)(C2=CC=C(C)C=C2)=O,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,C[Si](C)(C)N([Li])[Si](C)(C)C,,91,98,10.1039/b505197e,91
O=S(NCC1=CC=CC=C1)(C2=CC=C(C)C=C2)=O,O=C(OC/C=C/CCC1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,C[Si](C)(C)N([Li])[Si](C)(C)C,,48,95,,48
O=S(NCC1=CC=CC=C1)(C2=CC=CC=C2[N+]([O-])=O)=O,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,CCN(CC)CC,,33,91,,33
O=S(NCC1=CC=CC=C1)(C2=CC=CC=C2[N+]([O-])=O)=O,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,CCN(CC)CC,,0,,,0
O=S(NCC1=CC=CC=C1)(C2=CC=CC=C2[N+]([O-])=O)=O,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(N(P1OC2=C(C3=CC=CC=C3C=C2)C4=C5C=CC=CC5=CC=C4O1)C(C6=C7C(C=CC=C7)=CC=C6)C)C8=CC=CC9=C8C=CC=C9,CCN(CC)CC,,0,,,0
O=S(NCC1=CC=CC=C1)(C2=CC=CC=C2[N+]([O-])=O)=O,O=C(OC/C=C/CCC1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,CCN(CC)CC,,60,97,,60
O=S(NCC1=CC=CC=C1)(C2=CC=C([N+]([O-])=O)C=C2)=O,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,83,96,,83
O=S(NCC1=CC=CC=C1)(C2=CC=C([N+]([O-])=O)C=C2)=O,O=C(OC/C=C/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,CCN(CC)CC,,40,93,,40
O=S(NCC1=CC=CC=C1)(C2=CC=C([N+]([O-])=O)C=C2)=O,O=C(OC/C=C/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,43,90,,43
O=S(NCC1=CC=CC=C1)(C2=CC=C([N+]([O-])=O)C=C2)=O,O=C(OC/C=C/CCC1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,CCN(CC)CC,,75,88,,75
O=S(NCC1=CC=CC=C1)(C2=CC=C([N+]([O-])=O)C=C2)=O,O=C(OC/C=C/CCC1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,74,84,,74
O=S(NCC=C)(C1=CC=C([N+]([O-])=O)C=C1)=O,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,CCN(CC)CC,,81,88,,81
O=S(NCC=C)(C1=CC=C([N+]([O-])=O)C=C1)=O,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,65,90,,65
O=S(NCC=C)(C1=CC=C([N+]([O-])=O)C=C1)=O,O=C(OC/C=C/C1=CN=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,CCN(CC)CC,,75,91,,75
O=S(NCC=C)(C1=CC=C([N+]([O-])=O)C=C1)=O,O=C(OC/C=C/C1=CN=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,80,93,,80
O=S(NCCC=C)(C1=CC=C([N+]([O-])=O)C=C1)=O,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,CCN(CC)CC,,76,97,,76
O=S(NCCC=C)(C1=CC=C([N+]([O-])=O)C=C1)=O,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,76,90,,76
O=S(NCCC=C)(C1=CC=C([N+]([O-])=O)C=C1)=O,O=C(OC/C=C/C1=CN=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,CCN(CC)CC,,54,97,,54
O=S(NCCC=C)(C1=CC=C([N+]([O-])=O)C=C1)=O,O=C(OC/C=C/C1=CN=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,55,95,,55
c1ccc2c(c1)CCN2,COC(=O)OC/C=C/c1ccccc1,DABCO,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,90,95,10.1002/anie.200460276,90
c1ccc2c(c1)CCN2,COC(=O)OC/C=C/c1ccccc1,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,82,95,10.1021/acs.organomet.6b00339,82
c1ccc2c(c1)CCN2,COC(=O)OC/C=C/c1ccccc1OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,82,60,10.1021/acs.organomet.6b00339,82
c1ccc2c(c1)CCN2,COC(=O)OC/C=C/c1ccccc1C,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,58,39,10.1021/acs.organomet.6b00339,58
c1ccc2c(c1)CCN2,COC(=O)OC/C=C/c1ccccc1Cl,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,66,16,10.1021/acs.organomet.6b00339,66
c1ccc2c(c1)CCN2,COC(=O)OC/C=C/c1ccccc1Br,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,57,8,10.1021/acs.organomet.6b00339,57
c1ccc2c(c1)CCCN2,COC(=O)OC/C=C/c1ccccc1,DABCO,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,89,96,10.1002/anie.200460276,89
C1CCNCC1,COC(=O)OC/C=C/c1ccccc1,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,91,96,10.1021/ja028614m,91
C1COCCN1,COC(=O)OC/C=C/c1ccccc1,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,92,97,10.1021/ja028614m,92
CCNCC,COC(=O)OC/C=C/c1ccccc1,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,83,97,10.1021/ja028614m,83
C1CCNC1,COC(=O)OC/C=C/c1ccccc1,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,75,97,10.1021/ja028614m,75
C1COCCN1,CC(=O)OC/C=C/c1ccccc1,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,87,96,10.1021/ja028614m,87
